date,AQI
2022-07-02,40.5
2022-07-03,34.0
2022-07-04,44.0
2022-07-05,72.0
2022-07-06,29.5
2022-07-07,40.0
2022-07-08,40.5
2022-07-09,39.0
2022-07-10,40.0
2022-07-11,45.5
2022-07-12,38.5
2022-07-13,43.5
2022-07-14,41.5
2022-07-15,48.0
2022-07-16,47.5
2022-07-17,41.0
2022-07-18,41.0
2022-07-19,48.0
2022-07-20,47.0
2022-07-21,45.5
2022-07-22,43.5
2022-07-23,40.5
2022-07-24,36.5
2022-07-25,48.0
2022-07-26,44.5
2022-07-27,46.5
2022-07-28,45.0
2022-07-29,44.5
2022-07-30,33.0
2022-07-31,26.0
2022-08-01,44.5
2022-08-02,37.5
2022-08-03,42.0
2022-08-04,49.0
2022-08-05,43.0
2022-08-06,34.5
2022-08-07,39.0
2022-08-08,45.0
2022-08-09,51.5
2022-08-10,49.5
2022-08-11,51.5
2022-08-12,59.0
2022-08-13,46.5
2022-08-14,46.5
2022-08-15,57.5
2022-08-16,54.0
2022-08-17,50.5
2022-08-18,46.5
2022-08-19,50.0
2022-08-20,38.5
2022-08-21,35.5
2022-08-22,47.0
2022-08-23,54.5
2022-08-24,52.5
2022-08-25,48.5
2022-08-26,48.5
2022-08-27,35.0
2022-08-28,29.0
2022-08-29,44.0
2022-08-30,51.5
2022-08-31,63.5
2022-09-01,76.5
2022-09-02,53.5
2022-09-03,50.5
2022-09-04,33.0
2022-09-05,43.5
2022-09-06,61.5
2022-09-07,58.5
2022-09-08,53.0
2022-09-09,48.0
2022-09-10,39.5
2022-09-11,26.5
2022-09-12,31.5
2022-09-13,38.5
2022-09-14,40.5
2022-09-15,41.5
2022-09-16,44.0
2022-09-17,40.5
2022-09-18,35.5
2022-09-19,39.5
2022-09-20,28.5
2022-09-21,31.0
2022-09-22,49.666666666666664
2022-09-23,58.333333333333336
2022-09-24,47.333333333333336
2022-09-25,48.0
2022-09-26,57.0
2022-09-27,64.66666666666667
2022-09-28,73.66666666666667
2022-09-29,72.0
2022-09-30,57.333333333333336
2022-10-01,45.0
2022-10-02,46.0
2022-10-03,51.666666666666664
2022-10-04,60.333333333333336
2022-10-05,59.666666666666664
2022-10-06,62.333333333333336
2022-10-07,70.66666666666667
2022-10-08,61.333333333333336
2022-10-09,50.333333333333336
2022-10-10,54.0
2022-10-11,53.333333333333336
2022-10-12,56.666666666666664
2022-10-13,72.0
2022-10-14,70.33333333333333
2022-10-15,31.0
2022-10-16,45.0
2022-10-17,61.666666666666664
2022-10-18,58.666666666666664
2022-10-19,52.0
2022-10-20,50.0
2022-10-21,56.0
2022-10-22,42.666666666666664
2022-10-23,37.666666666666664
2022-10-24,41.0
2022-10-25,46.333333333333336
2022-10-26,53.0
2022-10-27,58.0
2022-10-28,55.333333333333336
2022-10-29,56.666666666666664
2022-10-30,56.666666666666664
2022-10-31,57.333333333333336
2022-11-01,54.666666666666664
2022-11-02,39.0
2022-11-03,31.333333333333332
2022-11-04,41.666666666666664
2022-11-05,53.0
2022-11-06,50.333333333333336
2022-11-07,44.0
2022-11-08,29.666666666666668
2022-11-09,31.333333333333332
2022-11-10,48.0
2022-11-11,49.666666666666664
2022-11-12,49.0
2022-11-13,52.0
2022-11-14,52.333333333333336
2022-11-15,40.0
2022-11-16,29.0
2022-11-17,46.666666666666664
2022-11-18,54.333333333333336
2022-11-19,35.333333333333336
2022-11-20,40.0
2022-11-21,54.333333333333336
2022-11-22,56.333333333333336
2022-11-23,64.0
2022-11-24,29.333333333333332
2022-11-25,40.0
2022-11-26,52.0
2022-11-27,55.333333333333336
2022-11-28,56.666666666666664
2022-11-29,51.333333333333336
2022-11-30,52.666666666666664
2022-12-01,44.333333333333336
2022-12-02,47.666666666666664
2022-12-03,48.0
2022-12-04,48.0
2022-12-05,36.333333333333336
2022-12-06,46.333333333333336
2022-12-07,50.333333333333336
2022-12-08,53.0
2022-12-09,57.333333333333336
2022-12-10,53.333333333333336
2022-12-11,33.0
2022-12-12,47.0
2022-12-13,51.333333333333336
2022-12-14,58.666666666666664
2022-12-15,55.666666666666664
2022-12-16,50.666666666666664
2022-12-17,52.0
2022-12-18,56.333333333333336
2022-12-19,67.66666666666667
2022-12-20,70.66666666666667
2022-12-21,55.333333333333336
2022-12-22,57.333333333333336
2022-12-23,73.0
2022-12-24,54.0
2022-12-25,45.666666666666664
2022-12-26,41.333333333333336
2022-12-27,57.0
2022-12-28,50.333333333333336
2022-12-29,41.333333333333336
2022-12-30,42.666666666666664
2022-12-31,33.333333333333336
2023-01-01,29.333333333333332
2023-01-02,41.0
2023-01-03,25.666666666666668
2023-01-04,32.333333333333336
2023-01-05,39.666666666666664
2023-01-06,49.666666666666664
2023-01-07,49.333333333333336
2023-01-08,50.0
2023-01-09,42.666666666666664
2023-01-10,33.333333333333336
2023-01-11,53.666666666666664
2023-01-12,48.5
2023-01-13,51.0
2023-01-14,48.5
2023-01-15,23.5
2023-01-16,25.0
2023-01-17,35.0
2023-01-18,50.5
2023-01-19,48.5
2023-01-20,43.5
2023-01-21,48.666666666666664
2023-01-22,48.0
2023-01-23,30.333333333333332
2023-01-24,49.666666666666664
2023-01-25,42.666666666666664
2023-01-26,34.333333333333336
2023-01-27,53.0
2023-01-28,57.333333333333336
2023-01-29,38.666666666666664
2023-01-30,27.333333333333332
2023-01-31,35.0
2023-02-01,39.666666666666664
2023-02-02,57.333333333333336
2023-02-03,55.0
2023-02-04,60.666666666666664
